piece number    N    E    S    W
copp 1    ligrL    oranL    reddL    blueR
copp 2    blueR    ligrL    reddL    dagrL
copp 3    dagrL    oranL    ligrR    blueR
copp 4    oranL    dagrR    reddR    blueL
copp 5    blueR    ligrL    dagrL    reddR
copp 6    blueL    dagrR    oranR    reddL
copp 7    dagrR    blueL    oranL    reddR
fire 1    blueR    oranR    ligrL    dagrL
fire 2    blueR    ligrL    dagrL    oranR
fire 3    blueR    oranR    reddL    ligrR
fire 4    reddR    dagrL    blueL    oranR
fire 5    blueL    dagrR    reddR    ligrL
fire 6    ligrL    oranL    blueL    reddR
fire 7    reddR    blueR    oranL    ligrR
viol 1    reddL    oranL    blueR    ligrL
viol 2    dagrL    ligrR    blueR    reddR
viol 3    reddL    ligrR    dagrR    blueL
viol 4    blueR    reddR    ligrL    oranL
viol 5    blueL    dagrR    oranR    reddL
viol 6    ligrL    reddL    blueL    dagrR
viol 7    oranR    blueL    reddL    dagrR
emer 1    blueL    dagrR    ligrL    oranL
emer 2    dagrL    blueR    ligrL    oranL
emer 3    reddR    blueR    oranL    ligrR
emer 4    dagrL    reddL    ligrR    blueR
emer 5    ligrL    blueL    reddR    oranR
emer 6    oranR    reddR    blueL    ligrR
emer 7    oranL    reddL    blueR    dagrR
lady 1    dagrL    blueL    reddR    oranR
lady 2    dagrL    blueR    ligrL    oranL
lady 3    oranR    dagrL    reddL    blueR
lady 4    dagrL    ligrR    reddR    blueL
lady 5    blueL    reddR    ligrL    dagrL
lady 6    dagrR    oranR    blueL    ligrR
lady 7    oranR    blueR    dagrL    reddL
gold 1    reddL    oranR    dagrR    blueL
gold 2    blueR    dagrR    ligrL    oranL
gold 3    reddR    ligrL    blueL    oranL
gold 4    blueR    reddL    dagrL    ligrR   
gold 5    oranL    blueL    ligrR    reddR   
gold 6    blueL    oranL    dagrR    ligrL
gold 7    ligrR    blueR    dagrR    oranL
sapp 1    ligrR    dagrR    reddR    blueL   
sapp 2    blueR    reddL    dagrL    oranR
sapp 3    dagrR    blueL    ligrR    reddR
sapp 4    dagrL    ligrR    blueR    oranR
sapp 5    ligrR    dagrR    blueL    oranL
sapp 6    oranR    blueR    dagrL    reddL
sapp 7    oranR    ligrL    blueL    reddL
