colour	number	N	E	S	W
white	1	+1	+2	+3	+4
white	2	-2	+5	+3	-1
white	3	+4	-2	-3	+1
white 	4	+4	-3	+5	+1
white	5	+1	+5	+3	-2
yellow	1	-5	+4	-3	+1
yellow 	2	+4	+1	+3	+2
yellow 	3	-1	-3	-4	+2
yellow 	4	-4	+3	-2	+1
yellow 	5	-3	-4	-1	-5
blue	1	-5	-3	-2	-4
blue	2	-3	-4	-5	-2
blue	3	+4	-3	+2	-5
blue	4	+2	+3	-1	+5
blue	5	+1	-4	+3	-2
brown	1	-5	+1	+2	+3
brown	2	-3	-4	+2	-5
brown	3	-1	-3	-2	+5
brown	4	+2	+4	-3	+5
brown	5	-5	+4	+1	+3
orange	1	-4	+5	-1	-3
orange	2	-3	+5	+2	-1
orange	3	+3	-5	+4	-2
orange	4	+2	+4	-3	+1
orange	5	-1	-4	+5	+3

