colour	number	N	E	S	W
whit 	1	+1	+2	+3	+4
whit 	2	-2	+5	+3	-1
whit 	3	+4	-2	-3	+1
whit  	4	+4	-3	+5	+1
whit 	5	+1	+5	+3	-2
yell	1	-5	+4	-3	+1
yell 	2	+4	+1	+3	+2
yell 	3	-1	-3	-4	+2
yell 	4	-4	+3	-2	+1
yell 	5	-3	-4	-1	-5
blue  	1	-5	-3	-2	-4
blue  	2	-3	-4	-5	-2
blue  	3	+4	-3	+2	-5
blue  	4	+2	+3	-1	+5
blue  	5	+1	-4	+3	-2
brow 	1	-5	+1	+2	+3
brow 	2	-3	-4	+2	-5
brow 	3	-1	-3	-2	+5
brow 	4	+2	+4	-3	+5
brow 	5	-5	+4	+1	+3
oran	1	-4	+5	-1	-3
oran	2	-3	+5	+2	-1
oran	3	+3	-5	+4	-2
oran	4	+2	+4	-3	+1
oran	5	-1	-4	+5	+3
