centre	number	N	E	S	W
puffa	1	johnd	strip	goldf	bluef
puffa	2	johnd	bluef	strip	green
puffa	3	strip	johnd	bluef	green
puffa	4	strip	bluef	johnd	green
puffa	5	johnd	gold2	bluef	green
puffa	6	strip	gold2	johnd	green
zebra	1	strip	gold2	johnd	bluef
zebra	2	johnd	bluef	green	gold2
zebra	3	green	bluef	strip	johnd
zebra	4	goldf	green	johnd	strip
zebra	5	goldf	strip	bluef	johnd
zebra	6	johnd	strip	bluef	gold2
angel	1	johnd	gold2	bluef	green
angel	2	strip	green	johnd	gold2
angel	3	johnd	blugo	johnd	strip
angel	4	strip	johnd	green	gold2
angel	5	green	strip	goldf	johnd
angel	6	bluef	green	strip	johnd
nemo_	1	strip	bluef	johnd	gold2
nemo_	2	johnd	strip	green	gold2
nemo_	3	green	gold2	strip	johnd
nemo_	4	bluef	johnd	strip	green
nemo_	5	johnd	gold2	strip	green
nemo_	6	bluef	johnd	bluef	blugo
color	1	green	bluef	strip	johnd
color	2	strip	johnd	bluef	gold2
color	3	green	johnd	strip	bluef
color	4	green	bluef	johnd	strip
color	5	johnd	bluef	green	strip
color	6	bluef	johnd	bluef	bluef
coral	1	johnd	gold2	green	bluef
coral	2	strip	johnd	goldf	bluef
coral	3	strip	green	johnd	bluef
coral	4	bluef	green	johnd	strip
coral	5	bluef	gold2	green	johnd
coral	6	goldf	green	strip	johnd
